,MktDate,Instrument,MachineTime,ExchangeTime,Bid,Bid1,Bid2,Bid3,Bid4,Ask,Ask1,Ask2,Ask3,Ask4,BidSize,BidSize1,BidSize2,BidSize3,BidSize4,AskSize,AskSize1,AskSize2,AskSize3,AskSize4,LastPrice,AccVolume,AccTurnOver,Volume,TurnOver,Pred,DATA_SOURCE,AS_OF_DATE
40243,20210125,OI0001,664671277179856613,664671277250000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,51,32,79,18,23,1,53,9,30,84,9808.0,117023,11458626720.0,0.0,-265440.0,-0.02296299999943585,EsunnyL2,20210125
40246,20210125,OI0001,664671277680000781,664671277750000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,54,32,79,18,23,1,53,9,30,84,9807.0,117031,11459411290.0,0.0,11459411290.0,0.008284999999887077,EsunnyL2,20210125
40248,20210125,OI0001,664671277929986201,664671278000000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,54,32,80,18,23,1,54,9,30,84,9807.0,117031,11459411290.0,0.0,0.0,0.008284999999887077,EsunnyL2,20210125
40249,20210125,OI0001,664671278180113546,664671278250000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,53,32,80,18,23,2,54,10,31,84,9807.0,117032,11459509360.0,0.0,11459509360.0,-0.17682299999978568,EsunnyL2,20210125
40252,20210125,OI0001,664671278430193794,664671278500000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,53,32,80,18,23,6,54,10,31,84,9808.0,117033,11459607440.0,0.0,11459607440.0,-0.25959899999907066,EsunnyL2,20210125
40253,20210125,OI0001,664671278680431401,664671278750000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,51,32,80,18,23,5,54,10,31,84,9807.0,117037,11459999730.0,0.0,11459999730.0,-0.03568300000006275,EsunnyL2,20210125
40255,20210125,OI0001,664671279180492460,664671279250000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,50,32,80,18,23,5,54,10,31,84,9807.0,117038,11460097800.0,1.0,98070.0,-0.14241899999979069,EsunnyL2,20210125
40256,20210125,OI0001,664671279430555651,664671279500000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,53,32,80,18,23,5,54,10,31,84,9808.0,117039,11460195880.0,0.0,11460195880.0,-0.015063000000736793,EsunnyL2,20210125
40258,20210125,OI0001,664671279680690462,664671279750000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,52,32,80,18,23,5,54,10,32,84,9807.0,117040,11460293950.0,0.0,-262850.0,-0.049257000000579865,EsunnyL2,20210125
40260,20210125,OI0001,664671279930594221,664671280000000000,9807.0,9811.0,9810.0,9809.0,9808.0,9808.0,9814.0,9815.0,9816.0,9817.0,53,38,93,25,24,5,19,46,12,12,9807.0,117040,0.0,0.0,-11460293950.0,-0.052373000000443426,EFH_SF,20210125
40262,20210125,OI0001,664671280180877065,664671280250000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,48,32,79,18,23,5,55,10,32,84,9807.0,117045,11460784300.0,0.0,11460784300.0,-0.26363099999980477,EsunnyL2,20210125
40263,20210125,OI0001,664671280430877517,664671280500000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,48,32,79,18,24,5,55,10,32,84,9807.0,117045,11460784300.0,0.0,0.0,-0.2913330000010319,EsunnyL2,20210125
40265,20210125,OI0001,664671280680951587,664671280750000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,45,32,79,18,24,5,55,10,32,84,9807.0,117048,11461078510.0,0.0,11461078510.0,-0.30584300000009534,EsunnyL2,20210125
40267,20210125,OI0001,664671281681439863,664671281750000000,9807.0,9806.0,9805.0,9804.0,9803.0,9808.0,9809.0,9810.0,9811.0,9812.0,43,32,79,18,24,3,55,10,32,84,9808.0,117052,11461470810.0,0.0,11461470810.0,-0.15511100000003353,EsunnyL2,20210125
40268,20210125,OI0001,664671281931237744,664671282000000000,9807.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,43,38,35,74,18,55,11,21,86,23,9808.0,117056,0.0,4.0,-11461470810.0,-0.11310400000002119,EFH_SF,20210125
40270,20210125,OI0001,664671282181555785,664671282250000000,9808.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,2,43,32,79,18,55,10,32,84,18,9808.0,117056,11461863130.0,0.0,11461863130.0,0.020642000001316774,EsunnyL2,20210125
40271,20210125,OI0001,664671282431514029,664671282500000000,9808.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,2,43,32,79,18,54,10,32,84,18,9808.0,117058,11462059300.0,0.0,11462059300.0,0.0026610000004438916,EsunnyL2,20210125
40273,20210125,OI0001,664671282931550009,664671283000000000,9807.0,9810.0,9809.0,9808.0,9807.0,9809.0,9813.0,9814.0,9815.0,9816.0,42,94,25,24,39,54,10,19,46,13,9807.0,117061,0.0,3.0,-11462059300.0,-0.14925700000094366,EFH_SF,20210125
40274,20210125,OI0001,664671283181827629,664671283250000000,9807.0,9806.0,9805.0,9804.0,9803.0,9809.0,9810.0,9811.0,9812.0,9813.0,42,35,79,18,24,54,10,32,84,18,9807.0,117061,11462353530.0,0.0,11462353530.0,-0.0658450000009907,EsunnyL2,20210125
40275,20210125,OI0001,664671283431796190,664671283500000000,9807.0,9806.0,9805.0,9804.0,9803.0,9809.0,9810.0,9811.0,9812.0,9813.0,42,35,79,18,24,54,10,32,84,18,9807.0,117061,11462353530.0,0.0,0.0,0.06394000000000233,EsunnyL2,20210125
40276,20210125,OI0001,664671283681913132,664671283750000000,9807.0,9806.0,9805.0,9804.0,9803.0,9809.0,9810.0,9811.0,9812.0,9813.0,42,35,79,18,24,54,10,32,84,18,9807.0,117061,11462353530.0,0.0,0.0,0.10018299999865121,EsunnyL2,20210125
40277,20210125,OI0001,664671283931902491,664671284000000000,9807.0,9810.0,9809.0,9808.0,9807.0,9809.0,9813.0,9814.0,9815.0,9816.0,42,94,25,24,39,54,10,19,46,13,9808.0,117062,0.0,1.0,-11462353530.0,0.07855000000017753,EFH_SF,20210125
