,DATETIME,LOG_TYPE,LOG_NAME,INSTRUMENT_ID,DIRECTION,LIMIT_PRICE,VOLUME,REF_ID,REM_ID,STATUS,FRONT_ID,SESSION_ID,ORDER_SYS_ID,STATUS_MSG,OF_FLAG,INSERT_TIME,ACTIVE_TIME,SUSPEND_TIME,UPDATE_TIME,CANCLE_TIME,LOCAL_ORDER_ACK_TIME,CURRENT_VOLUME,TRADED_VOLUME,TIME,TIME_IN_FORCE,SESSION,TYPE,MACHINE_TIMESTAMP_DATA,AS_OF_DATE
30,2021-01-22 21:00:03.340,ORDER_LOG,liveOrderMap update.,OI105,SELL,9767.0,3,10005-1,0,LIVE,0,10060,ON210125QV00000043,"""2021012500059954""",1,0.0,6.646644033042413e+17,0.0,0.0,0.0,2021-01-22 21:00:03.339588,1,1.0,,,1,5.0,,20210125
31,2021-01-22 21:00:03.340,ORDER_LOG,liveOrderMap update.,OI105,SELL,9767.0,3,10005-1,0,LIVE,0,10060,ON210125QV00000043,"""2021012500059954""",1,0.0,6.646644033042413e+17,0.0,0.0,0.0,2021-01-22 21:00:03.339570,2,1.0,,,1,5.0,,20210125
32,2021-01-22 21:00:06.556,ORDER_LOG,submitting order,OI105,BUY,9764.0,3,10006-1,0,,0,0,,,4,,,,,,,3,,2021-01-22 21:00:06.555931264,GOOD_TILL_CANCEL,1,6.0,2021-01-22 21:00:06.555924480,20210125
33,2021-01-22 21:00:06.561,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9764.0,3,10006-1,0,LIVE,0,10060,ON210125QV00000054,"""2021012500070241""",4,0.0,6.646644065559313e+17,0.0,0.0,0.0,2021-01-22 21:00:06.561408,3,,,,1,6.0,,20210125
34,2021-01-22 21:00:06.561,ORDER_LOG,Remove from submit order map,OI105,BUY,9764.0,3,10006-1,0,LIVE,0,10060,ON210125QV00000054,"""2021012500070241""",4,0.0,6.646644065559313e+17,0.0,0.0,0.0,2021-01-22 21:00:06.561408,3,,2021-01-22 21:00:06.561415552,,1,6.0,,20210125
35,2021-01-22 21:00:06.569,ORDER_LOG,liveOrderMap update.,OI105,BUY,9764.0,3,10006-1,0,LIVE,0,10060,ON210125QV00000054,"""2021012500070241""",4,0.0,6.646644065559313e+17,0.0,0.0,0.0,2021-01-22 21:00:06.568284,2,1.0,,,1,6.0,,20210125
36,2021-01-22 21:00:06.577,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9764.0,3,10006-1,0,DEAD,0,10060,ON210125QV00000054,"""2021012500070241""",4,0.0,6.646644065559313e+17,0.0,0.0,0.0,2021-01-22 21:00:06.577206,0,,,,1,6.0,,20210125
37,2021-01-22 21:00:08.057,ORDER_LOG,submitting order,OI105,BUY,9764.0,3,10007-1,0,,0,0,,,4,,,,,,,3,,2021-01-22 21:00:08.056829696,GOOD_TILL_CANCEL,1,1.0,2021-01-22 21:00:08.056823936,20210125
38,2021-01-22 21:00:08.059,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9764.0,3,10007-1,0,LIVE,0,10060,ON210125QV00000057,"""2021012500074122""",4,0.0,6.646644080568297e+17,0.0,0.0,0.0,2021-01-22 21:00:08.059243,3,,,,1,1.0,,20210125
39,2021-01-22 21:00:08.059,ORDER_LOG,Remove from submit order map,OI105,BUY,9764.0,3,10007-1,0,LIVE,0,10060,ON210125QV00000057,"""2021012500074122""",4,0.0,6.646644080568297e+17,0.0,0.0,0.0,2021-01-22 21:00:08.059243,3,,2021-01-22 21:00:08.059249920,,1,1.0,,20210125
40,2021-01-22 21:00:08.083,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9764.0,3,10007-1,0,DEAD,0,10060,ON210125QV00000057,"""2021012500074122""",4,0.0,6.646644080568297e+17,0.0,0.0,0.0,2021-01-22 21:00:08.083424,0,,,,1,1.0,,20210125
41,2021-01-22 21:00:08.083,ORDER_LOG,liveOrderMap update.,OI105,BUY,9764.0,3,10007-1,0,LIVE,0,10060,ON210125QV00000057,"""2021012500074122""",4,0.0,6.646644080568297e+17,0.0,0.0,0.0,2021-01-22 21:00:08.083398,1,2.0,,,1,1.0,,20210125
42,2021-01-22 21:00:08.807,ORDER_LOG,submitting order,OI105,BUY,9766.0,3,10008-1,0,,0,0,,,4,,,,,,,3,,2021-01-22 21:00:08.807095424,GOOD_TILL_CANCEL,1,0.0,2021-01-22 21:00:08.807088256,20210125
43,2021-01-22 21:00:08.808,ORDER_LOG,Remove from submit order map,OI105,BUY,9766.0,3,10008-1,0,LIVE,0,10060,ON210125QV00000061,"""2021012500075808""",4,0.0,6.646644088070954e+17,0.0,0.0,0.0,2021-01-22 21:00:08.807810,3,,2021-01-22 21:00:08.807816576,,1,0.0,,20210125
44,2021-01-22 21:00:08.808,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9766.0,3,10008-1,0,LIVE,0,10060,ON210125QV00000061,"""2021012500075808""",4,0.0,6.646644088070954e+17,0.0,0.0,0.0,2021-01-22 21:00:08.807810,3,,,,1,0.0,,20210125
45,2021-01-22 21:00:08.973,ORDER_LOG,liveOrderMap update.,OI105,BUY,9766.0,3,10008-1,0,LIVE,0,10060,ON210125QV00000061,"""2021012500075808""",4,0.0,6.646644088070954e+17,0.0,0.0,0.0,2021-01-22 21:00:08.973087,2,1.0,,,1,0.0,,20210125
46,2021-01-22 21:00:08.989,ORDER_LOG,liveOrderMap update.,OI105,BUY,9766.0,3,10008-1,0,LIVE,0,10060,ON210125QV00000061,"""2021012500075808""",4,0.0,6.646644088070954e+17,0.0,0.0,0.0,2021-01-22 21:00:08.989263,1,1.0,,,1,0.0,,20210125
47,2021-01-22 21:00:09.065,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9766.0,3,10008-1,0,DEAD,0,10060,ON210125QV00000061,"""2021012500075808""",4,0.0,6.646644088070954e+17,0.0,0.0,0.0,2021-01-22 21:00:09.065391,0,,,,1,0.0,,20210125
48,2021-01-22 21:00:10.308,ORDER_LOG,submitting order,OI105,BUY,9766.0,3,10009-1,0,,0,0,,,4,,,,,,,3,,2021-01-22 21:00:10.307866752,GOOD_TILL_CANCEL,1,0.0,2021-01-22 21:00:10.307859328,20210125
49,2021-01-22 21:00:10.311,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9766.0,3,10009-1,0,LIVE,0,10060,ON210125QV00000067,"""2021012500078844""",4,0.0,6.646644103078668e+17,0.0,0.0,0.0,2021-01-22 21:00:10.311182,3,,,,1,0.0,,20210125
50,2021-01-22 21:00:10.311,ORDER_LOG,Remove from submit order map,OI105,BUY,9766.0,3,10009-1,0,LIVE,0,10060,ON210125QV00000067,"""2021012500078844""",4,0.0,6.646644103078668e+17,0.0,0.0,0.0,2021-01-22 21:00:10.311182,3,,2021-01-22 21:00:10.311188992,,1,0.0,,20210125
51,2021-01-22 21:00:10.602,ORDER_LOG,liveOrderMap update.,OI105,BUY,9766.0,3,10009-1,0,LIVE,0,10060,ON210125QV00000067,"""2021012500078844""",4,0.0,6.646644103078668e+17,0.0,0.0,0.0,2021-01-22 21:00:10.601764,2,1.0,,,1,0.0,,20210125
52,2021-01-22 21:00:10.692,ORDER_LOG,liveOrderMap update.,OI105,BUY,9766.0,3,10009-1,0,LIVE,0,10060,ON210125QV00000067,"""2021012500078844""",4,0.0,6.646644103078668e+17,0.0,0.0,0.0,2021-01-22 21:00:10.691680,1,1.0,,,1,0.0,,20210125
53,2021-01-22 21:00:10.797,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9766.0,3,10009-1,0,DEAD,0,10060,ON210125QV00000067,"""2021012500078844""",4,0.0,6.646644103078668e+17,0.0,0.0,0.0,2021-01-22 21:00:10.796767,0,,,,1,0.0,,20210125
54,2021-01-22 21:00:11.058,ORDER_LOG,submitting order,OI105,SELL,9767.0,3,10010-1,0,,0,0,,,1,,,,,,,3,,2021-01-22 21:00:11.058186496,GOOD_TILL_CANCEL,1,0.0,2021-01-22 21:00:11.058179840,20210125
55,2021-01-22 21:00:11.059,ORDER_LOG,"successful insert, updating live order",OI105,SELL,9767.0,3,10010-1,0,LIVE,0,10060,ON210125QV00000070,"""2021012500080414""",1,0.0,6.646644110581865e+17,0.0,0.0,0.0,2021-01-22 21:00:11.059495,3,,,,1,0.0,,20210125
56,2021-01-22 21:00:11.059,ORDER_LOG,Remove from submit order map,OI105,SELL,9767.0,3,10010-1,0,LIVE,0,10060,ON210125QV00000070,"""2021012500080414""",1,0.0,6.646644110581865e+17,0.0,0.0,0.0,2021-01-22 21:00:11.059495,3,,2021-01-22 21:00:11.059501312,,1,0.0,,20210125
57,2021-01-22 21:00:11.169,ORDER_LOG,Removing from Live Order Map,OI105,SELL,9767.0,3,10010-1,0,DEAD,0,10060,ON210125QV00000070,"""2021012500080414""",1,0.0,6.646644110581865e+17,0.0,0.0,0.0,2021-01-22 21:00:11.168911,0,,,,1,0.0,,20210125
58,2021-01-22 21:00:11.308,ORDER_LOG,submitting order,OI105,BUY,9767.0,3,10011-1,0,,0,0,,,4,,,,,,,3,,2021-01-22 21:00:11.308270976,GOOD_TILL_CANCEL,1,1.0,2021-01-22 21:00:11.308263680,20210125
